6.0.1|Nexus 5X
13|moto g power 5G - 2023
14|SM-A145R
13|ZG65H
13|TECNO BG6
12|SM-G715U1
12|moto g31
14|SM-X205
9|AFTALMO
13|SM-R910
13|moto g stylus 5G - 2023
13|SM-M526B
11|SM-A207M
12|moto g(100)
12|M2004J19C
11|CPH2021
10.0|YT9216CJ
14|23108RN04Y
13|CPH2145
13|SM-M135M
14|Pixel 5
12|SM-F721B
12|SM-A426B
13|23028RN4DG
13|SM-A546B
14|CPH2385
14|SM-A528B
14|XQ-CC54
13|CPH2271
13|PET-10980-F628E
9|SM-A105FN
12|RMX3241
13|23028RN4DG
10|SM-G965F
11|motorola one fusion
13|SM-A032F
9|SHV46
10|CPH2185
13|SM-A336B
10|VOG-L29
10|itel L6006
13|E55
13|SM-A536B
14|SM-G996B
12|Nokia 5.3
14|SM-A137F
13|SM-A245M
11|kukui
10|moto e(7) plus
14|moto g24
14|SM-G991B
10.0|YT9216CJ
11|C5L Max
11|itel A509W
11|Redmi Note 8 Pro
13|moto g14
13|SM-S916B
9|ANE-LX1
14|SM-A536B
13|moto g82 5G
10|moto e(7) power
6.0|Nexus 5
10|Lenovo TB-X505F
11|moto g(10)
11|M2006C3MG
13|moto g14
13|SM-A145MB
11|Nokia G21
14|2212ARNC4L
9|SM-J330FN
10|SM-A107M
10|M2006C3LG
5.1.1|vivo X6S A
14|SM-A135M
11|M2101K7BNY
9|FIG-LX1
14|SM-A137F
13|motorola razr 40
13|SM-A042M
12|SM-M025F
13|23100RN82L
11|motorola one hyper
9|AFTJULI1
12|SM-A025M
8.1.0|SM-T580
11|Nokia C20
13|SM-A032M
13|2201117TY
13|SM-A057M
10|SM-G9650
10|moto e(7i) power
10|moto g(7) play
12|RMX3690
13|22101316G
13|SM-M236B
8.0.0|SM-G930F
14|SM-T220
14|Pixel 7a
14|V2247
14|22101316UG
10|M2006C3MG
12|SM-A135M
11|21061119DG
13|moto g52
13|SM-G985F
14|SM-A146P
13|CPH2343
13|23021RAAEG
14|SM-A156U
13|moto g stylus 5G (2022)
11|Arcelik Google TV
12|SM-N970F
9|AFTSSS
13|SM-A035M
11|Lenovo TB-J606F
12|SM-A325M
14|23021RAA2Y
11|RMX3261
13|TrebleDroid vanilla
13|SM-G986B
9|AFTTI43
14|REA-NX9
14|SM-A525F
11|CPH2069
8.0.0|SM-G935F
12|T507D
12|moto g(30)
11|Tesla 2K TV
12|SM-G975F
13|TECNO KI5q
12|SM-A217F
13|dedede
13|CPH2219
12|M2101K7AG
10|moto e(7) power
10.0|YT9216CJ
14|SM-A346B
8.0.0|SM-G930F
14|SM-A336B
12|E940-2849-00
13|moto g62 5G
12|GOT-AL09
13|RMX3741
14|SM-M236B
13|moto e13
13|moto g42
13|SM-A226BR
13|SM-M526B
13|Nokia X10
10|LM-K420
14|Pixel 6 Pro
13|SM-G525F
10|moto g(7) play
9|SM-J415FN
10|SM-A217F
13|M2101K7BI
13|SM-G525F
12|GM1910
10|MAR-LX1B
12|SM-G781B
14|SM-A546E
12|SM-A025G
8.1.0|LG-M700
9|Redmi Note 8
10|SM-J600GT
8.1.0|SM-J410G
8.1.0|SM-G610M
11|SM-A307GT
14|SM-F731B
8.1.0|5003D_EEA
12|tb8163p3_bsp
13|CPH2247
13|moto g 5G - 2023
12|SM-A032M
10|SM-A202F
14|SM-A055M
13|SM-A032M
14|ANB-AN00
13|SM-A035M
11|LM-K510
12|SM-A125F
14|22111317PG
11|SM-T290
10|CPH2161
8.1.0|SM-T580
14|SM-A146M
14|SM-S911B
12|DE2117
9|ASUS_X01AD
10|SM-G9600
9|SM-G955F
10|SM-G960U1
13|SM-M135M
10|moto e(7) plus
13|SM-M127F
10|moto e(7)
10|SM-A022M
14|PJH110
10|SM-G960F
11|CPH2269
9|KFTRWI
13|moto g62 5G
9|ANE-LX1
10|BQ-7082G
14|SM-A736B
9|AFTTIFF43
12|SM-A032M
10|SM-A207M
13|SM-A037U
11|SM-A022M
13|KINGKONG 9
11|M2102J20SG
14|moto g34 5G
11|SM-A107M
13|21061110AG
12|S100
10|5002H_EEA
14|SM-A047F
11|SM-A022M
7.1.2|LM-X210
14|SM-S918B
10|moto g(7)
11|M2002J9G
10|SM-A025G
12|SM-A536B
10|POT-LX1T
8.1.0|SM-T585
10|M2006C3LVG
11|moto e20
9|SM-J415FN
9|SM-G950F
10|HRY-LX1T
12|CPH2219
11|SM-A307FN
12|SM-A536B
10|C21
12|SM-A225F
11|SM-A326B
9|H9436
10|ELE-L29
12|SM-G973F
12|SM-A415F
12|CPH2005
12|SM-G975F
9|ANE-LX1
10|5030D_EEA
10|SM-A405FN
11|Redmi Note 9 Pro
11|SM-A405FN
10|SM-A217F
11|SM-A125F
10|CLT-L09
11|SM-A505FN
12|CPH2211
11|SM-A202F
12|SM-A415F
11|SM-A202F
9|ANE-LX1
12|CPH2271
12|SM-A525F
11|M2101K7BNY
10|M2006C3LG
11|itel L5002
10|SM-A105FN
9|XQ-AD52
10|CPH1931
12|CPH2273
11|CPH2069
12|CPH2135
10|SM-A600FN
12|RMX3085
11|TECNO BD4
12|M2101K7BNY
10|AQM-LX1
10|SM-G965F
11|CPH1941
10|5030F_EEA
9|VKY-L09
12|SM-G986B
11|RMX3241
11|Mi Note 10
10|Lenovo TB-X306X
9|FIG-LX1
11|CPH2127
10|SNE-LX1
9|MHA-L29
10|S96Pro
12|LE2123
8.0.0|WAS-LX1A
8.1.0|SM-N960F
9|SM-G955F
10|BLA-L29
11|moto g(8) power
11|LM-Q630
11|X7g
12|A203SO
9|SM-G950F
10|moto e(7) plus
10|JSN-L21
12|CPH2251
11|SM-A705FN
11|Redmi Note 8T
7.1.2|it-it|Redmi Note 5A
11|SM-A207M
11|SM-A326B
12|CPH2195
11|CPH1941
10|SM-A515F
11|SM-A505FN
10|Redmi Note 9 Pro
9|AFTWI001
7.0|SM-G920F
11|SHIELD Android TV
12|CPH2219
11|Redmi Note 8
11|SM-A405FN
10|LM-X540
12|motorola edge 30
12|SM-G996B
10|MAR-LX1A
11|SM-A025G
12|motorola edge 30
10|HRY-LX1
10|JNY-LX1
8.0.0|SM-G570M
12|SM-A528B
10|STK-LX1
10|BLA-L29
11|SM-A125M
11|SM-A107M
11|CPH2021
12|moto g(100)
11|ONEPLUS A6013
11|Redmi Note 8 Pro
6.0.1|SM-G900F
8.0.0|SM-A520F
10|SM-A013M
11|moto g stylus 5G
12|SM-A325M
12|V2041
11|SM-A515F
11|CPH2371
9|SM-G950F
9|G8341
8.0.0|ATU-L11
11|M2103K19PG
9|SM-J530G
11|SM-A022M
10|M2007J3SY
9|MI 9 SE
12|CPH2025
12|SM-G996B
12|motorola edge 30 pro
11|Mi A3
11|M2007J3SY
12|SM-M115F
10|POT-LX1
11|SM-A405FN
11|SM-A127F
10|SM-A013M
11|SM-A305GT
11|SM-A037G
10|SM-J720M
10|Redmi Note 8 Pro
12|SM-A226B
11|AC2003
12|moto g(30)
12|CPH2135
9|ELE-L29
11|IN2013
11|CPH2273
11|SM-M127F
7.0|SM-G920F
11|SM-A226B
11|moto g(9) play
7.0|HUAWEI VNS-L31
12|SM-G996B
10|M2007J22G
6.0|ip11
10|SM-A015M
12|SO-51B
10|Lenovo YT-X705L
10|Mi Note 10 Lite
11|SM-T725
10|Redmi 8
9|SM-N950F
10|SM-A207F
10|SM-A605FN
11|RMX2001
9|LM-X120
8.1.0|SM-J260MU
12|SM-G770F
9|JAT-L29
12|SM-A336B
11|Multilaser_F_Pro_2
12|RMX3241
12|SM-G975F
9|SM-G950F
12|2109119DG
7.1.2|Redmi 5
9|Redmi 6
11|M2006C3LVG
12|SM-A225F
9|LLD-L31
12|moto g52
11|moto g play (2021)
11|motorola one 5G
10|moto e(6i)
11|SM-G980F
12|Nokia X20
12|SM-N980F
12|SM-G981B
11|SM-A225M
9|JSN-L21
10|SM-J600GT
10|SM-A217F
11|moto g(20)
10|CPH1931
11|SM-A115M
12|SM-A315G
10|SM-A750FN
11|M2007J17G
4.4.2|SM-T230NU
10|SM-J400M
10|SM-A013M
11|SM-A025G
11|2201117TL
10|VIA_F20
12|SM-A225F
8.0.0|WAS-LX1A
11|SM-A125F
11|moto e20
10|TAB_912_4G
12|SM-A217M
8.1.0|SM-G610M
10|SM-G960F
9|SM-G611MT
7.0|SM-T819
9|SM-A105M
11|CPH2211
12|M2101K7AI
10|moto g(8) power
8.1.0|DUB-LX1
9|LM-X120
11|RMX3269
8.0.0|Lenovo K520
10|Redmi Note 7
11|moto g41
9|kukui
10|SM-G9600
12|CPH2307
10|SM-J400M
10|T20-Plus
10|SM-G975F
11|SM-G715FN
12|SM-A217F
11|SM-A025U
11|CPH2069
9|moto e6 play
11|moto g(9) play
11|2107113SG
10|MAR-LX1A
10|SHV42
11|M2103K19PG
10|Redmi Note 7
9|SM-J330FN
10|CPH2185
8.0.0|SM-G935F
11|Redmi Note 8 Pro
12|moto g(50) 5G
5.1.1|ASUS_X013D
10|S58Pro
11|CPH1907
11|SM-A015M
10|W-V851-EEA
7.1.2|View
12|SM-F711B
7.1.1|WIM Lite
11|T782H
12|RMX3081
11|CPH2065
9|LM-X420
12|SM-S906U
9|moto e6 play
9|SM-J600GT
10|moto e(7) plus
12|SM-A137F
11|RMX1971
10|moto g(8) play
9|SM-G955F
10|SM-N960F
9|SM-A307FN
8.1.0|Moto G (5S) Plus
9|SM-A405FN
8.1.0|DRA-L21
12|SM-A025M
10|SM-T830
11|ZTE Blade A51
11|Infinix X689F
8.0.0|SM-G935F
11|CPH2135
10|moto g(7) play
12|SM-F721B
11|220233L2G
10|SM-A600FN
12|SM-F926B
11|CPH1941
11|M2010J19SG
9|SM-G950F
10|SM-G9600
11|2201116SG
11|moto g(9) plus
11|SM-A315G
10|CLT-L29
8.0.0|SM-G930F
11|22011119UY
12|M2101K6G
8.0.0|moto e5
7.0|SM-G950F
10|moto e(7) power
11|LM-K525
12|CPH2247
8.1.0|moto e5 play
11|CPH2219
12|V2109
10|moto e(7)
9|SM-G955F
11|SM-A125F
11|Redmi Note 9S
10|MAR-LX1B
12|SM-A525F
11|SM-A217F
10|LM-K200
6.0.1|SM-G532MT
11|moto e40
9|Redmi Note 8
10|SM-J600FN
11|CPH1951
12|CPH2195
11|M2101K7BNY
8.1.0|SM-J260MU
10|JNY-LX1
10|SM-A125M
11|SM-A307GT
8.1.0|SM-J260F
10|M2004J19C
6.0|CAM-L21
12|SM-G780G
12|SM-G990E
9|MRD-LX1
10|SM-J600GT
11|M2006C3MG
10|moto e(7i) power
9|SM-A530F
12|AC2003
12|moto g(60)
9|SM-J730G
6.0.1|SM-G532MT
12|SM-G780F
11|SM-A105M
11|SM-A107M
12|SM-G770F
10|SM-A217F
